ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,LocationID,no_leisure_pa,mental_distress
02675,860Z200US02675,02675,02675,Z5,22697369,1674219,02675,18.8,12
01238,860Z200US01238,01238,01238,Z5,71489759,2706425,01238,21.3,14.7
02151,860Z200US02151,02151,02151,Z5,14776695,3305047,02151,26.5,18.1
02048,860Z200US02048,02048,02048,Z5,52069118,822341,02048,17.5,14.8
01602,860Z200US01602,01602,01602,Z5,15096694,631588,01602,22.8,16.9
01230,860Z200US01230,01230,01230,Z5,251172611,4976386,01230,21.9,14.6
02739,860Z200US02739,02739,02739,Z5,44896932,7811255,02739,18.3,13.6
02453,860Z200US02453,02453,02453,Z5,9303072,721278,02453,16.2,15.9
02576,860Z200US02576,02576,02576,Z5,24357200,683430,02576,23.9,16.9
02482,860Z200US02482,02482,02482,Z5,9637341,573876,02482,15.6,11.7
02532,860Z200US02532,02532,02532,Z5,35708392,8348819,02532,20,15.9
02019,860Z200US02019,02019,02019,Z5,47508194,1422667,02019,18.4,15.2
02035,860Z200US02035,02035,02035,Z5,51426194,2574941,02035,17.6,14.4
02368,860Z200US02368,02368,02368,Z5,24147379,1046980,02368,24,16
02476,860Z200US02476,02476,02476,Z5,5398605,413740,02476,14,12
01950,860Z200US01950,01950,01950,Z5,21626955,5967272,01950,14.8,12.4
01029,860Z200US01029,01029,01029,Z5,25823458,5096491,01029,27.3,16.3
01031,860Z200US01031,01031,01031,Z5,17437835,0,01031,24.9,17.5
01032,860Z200US01032,01032,01032,Z5,24991855,713812,01032,20.2,13.8
01034,860Z200US01034,01034,01034,Z5,175466654,4776310,01034,21.3,15.6
01103,860Z200US01103,01103,01103,Z5,1126124,0,01103,42.5,22.5
01079,860Z200US01079,01079,01079,Z5,4163329,50403,01079,27.1,20.5
01083,860Z200US01083,01083,01083,Z5,33041299,156111,01083,24.8,17.2
01084,860Z200US01084,01084,01084,Z5,21578079,392115,01084,17.4,13.1
01088,860Z200US01088,01088,01088,Z5,13607010,143465,01088,21.7,15.1
02631,860Z200US02631,02631,02631,Z5,57484827,6601467,02631,19.5,12.5
01890,860Z200US01890,01890,01890,Z5,15622016,817439,01890,13.7,11.6
01097,860Z200US01097,01097,01097,Z5,4507443,416044,01097,20.6,17.8
01057,860Z200US01057,01057,01057,Z5,115364745,1421370,01057,24.6,17.5
01840,860Z200US01840,01840,01840,Z5,1322161,200773,01840,36.9,19.2
02644,860Z200US02644,02644,02644,Z5,8738929,447047,02644,21.3,17.2
01011,860Z200US01011,01011,01011,Z5,84938967,343003,01011,24.4,17.1
01009,860Z200US01009,01009,01009,Z5,1806483,0,01009,22.8,18.9
01259,860Z200US01259,01259,01259,Z5,59376360,1922160,01259,21.8,13.7
01944,860Z200US01944,01944,01944,Z5,23904339,3206997,01944,12.7,10.9
01515,860Z200US01515,01515,01515,Z5,25547237,1447029,01515,22.6,16.5
01516,860Z200US01516,01516,01516,Z5,94927915,4069108,01516,19,15.8
01522,860Z200US01522,01522,01522,Z5,40623184,1398432,01522,17.6,14.3
01532,860Z200US01532,01532,01532,Z5,47853242,705494,01532,16.7,12.9
01534,860Z200US01534,01534,01534,Z5,24641211,411887,01534,21.9,16.3
01568,860Z200US01568,01568,01568,Z5,54950393,610404,01568,17,14.3
01569,860Z200US01569,01569,01569,Z5,76098695,1453221,01569,19.2,15.4
01571,860Z200US01571,01571,01571,Z5,53955588,2742703,01571,22.7,17.8
01583,860Z200US01583,01583,01583,Z5,32572779,2356117,01583,22.1,15.4
01590,860Z200US01590,01590,01590,Z5,84105119,4002855,01590,17.3,14.4
01604,860Z200US01604,01604,01604,Z5,17180827,428266,01604,27.2,18.5
01605,860Z200US01605,01605,01605,Z5,14643872,341303,01605,30.3,19.1
01609,860Z200US01609,01609,01609,Z5,9670694,56961,01609,26.3,20.6
